ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,
459181,Male,Yes,62,No,Artist,1,High,3,Cat_6,
459182,Female,Yes,46,Yes,Artist,1,Average,2,Cat_6,
459184,Male,Yes,43,Yes,Entertainment,0,Low,4,Cat_4,
459185,Female,No,32,Yes,Entertainment,7,Low,1,Cat_6,
459193,Male,No,39,Yes,Artist,0,Low,1,Cat_6,
459194,Female,Yes,89,Yes,Lawyer,0,High,2,Cat_6,
459196,Female,No,18,No,Healthcare,0,Low,3,Cat_4,
459208,Female,Yes,57,Yes,Artist,0,High,2,Cat_3,
459209,Female,No,18,No,Entertainment,0,Low,4,Cat_6,
459210,Female,Yes,71,Yes,Artist,1,High,2,Cat_6,
459212,Female,Yes,69,Yes,Artist,0,Average,2,Cat_6,
459213,Female,No,42,Yes,Healthcare,0,Low,4,Cat_6,
459216,Female,No,36,Yes,Artist,0,Low,2,Cat_6,
459220,Female,Yes,80,Yes,Lawyer,1,High,2,Cat_6,
459221,Male,Yes,69,No,Entertainment,,Low,1,Cat_6,
459222,Female,Yes,67,Yes,Artist,0,Average,3,Cat_6,
459223,Female,Yes,47,Yes,Doctor,1,Average,4,Cat_6,
459224,Female,Yes,49,Yes,Artist,0,Average,2,Cat_6,
459227,Female,Yes,32,No,Engineer,9,Low,4,Cat_6,
459229,Female,Yes,65,Yes,Lawyer,1,Average,4,Cat_6,
459236,Female,Yes,78,No,Lawyer,0,High,2,Cat_6,
459237,Male,No,33,Yes,Artist,1,Low,6,Cat_6,
459244,Male,Yes,48,Yes,Artist,1,Low,1,Cat_6,
459247,Male,Yes,58,Yes,Executive,1,Average,5,Cat_6,
459258,Female,Yes,83,Yes,Lawyer,1,High,,Cat_6,
459263,Female,No,30,No,Healthcare,9,Low,4,Cat_6,
459264,Female,No,35,Yes,Artist,0,Low,2,Cat_6,
459266,Male,No,32,Yes,Healthcare,6,Low,5,Cat_6,
459270,Male,Yes,69,Yes,Homemaker,1,High,2,Cat_6,
459284,Female,Yes,71,Yes,Lawyer,1,High,2,Cat_6,
459287,Male,No,43,Yes,Lawyer,0,Low,1,Cat_4,
459288,Male,Yes,37,Yes,Artist,0,Low,2,Cat_6,
459289,Male,No,42,Yes,Doctor,0,Low,1,Cat_6,
459290,Female,Yes,70,Yes,Doctor,1,Average,2,Cat_6,
459292,Male,No,46,Yes,Artist,0,Low,2,Cat_6,
459293,Male,No,21,No,Healthcare,,Low,,Cat_1,
459296,Male,Yes,70,Yes,Artist,0,Average,2,Cat_6,
